frame,worm,length,length_y,width,aspect,area_xz,volume,voxels,cx,cy,cz
10,1.0,0.10156237,0.15625,0.0065741201904631,15.44881551562349,6.732906201215999e-05,1.05201659394e-05,706.0,0.09331265949008499,0.5096273016997167,0.03519212396600567
10,2.0,0.0781249,0.1171875,0.007067676286971666,11.053831107688534,7.921814095104e-05,9.2833758927e-06,623.0,0.20275141213483144,0.45994055979133225,0.08948926227929374
10,3.0,0.08333322666666666,0.07421875,0.005386825834262334,15.469820118674436,9.476462582298948e-05,7.0333120728e-06,472.0,0.23546268508474577,0.4842508606991525,0.06621573355932203
10,4.0,0.10937485999999999,0.12109375,0.006720355954898251,16.275158746655404,9.315196919163872e-05,1.12801212693e-05,757.0,0.37053550287978865,0.08421916281373844,0.08787749960369881
10,5.0,0.08593739,0.140625,0.006616874033369393,12.987611607325647,8.08499753152e-05,1.1369527778700001e-05,763.0,0.39536985121887286,0.6879812418086501,0.12617974332896462
10,6.0,0.08854155333333333,0.0703125,0.005855222836746686,15.121807624068039,0.0001835283843328,1.2904339523400001e-05,866.0,0.43952642605080827,0.9278155672632794,0.063259887852194
10,7.0,0.08072906333333332,0.12109375,0.005769370872255866,13.992697838433061,8.429207251819356e-05,1.0207243156500002e-05,685.0,0.45685900379562044,0.6733747718978103,0.031326904291970804
10,8.0,0.14583314666666666,0.14453125,0.006311211281469242,23.106998032985658,0.00014495775390720002,2.09509253694e-05,1406.0,0.45809693359886205,0.8464088060099573,0.18841217991465148
20,1.0,0.11718735,0.125,0.006202368298608475,18.893968296963504,9.465169128479999e-05,1.18314614106e-05,794.0,0.023917110528967254,0.509431084697733,0.31582245581863977
20,2.0,0.08593739,0.12109375,0.004917506796432696,17.475805028341092,7.284803931499355e-05,8.821442260800001e-06,592.0,0.03254650135135135,0.5201844911317568,0.16297334756756757
20,3.0,0.14322898333333334,0.17578125,0.006387380863272703,22.42374243829686,0.00011087996614656,1.94906190492e-05,1308.0,0.034720142385321104,0.8340112528669725,0.024930651009174312
20,4.0,0.09635404333333333,0.09375,0.00480748674867716,20.042497955890642,6.29421826176e-05,5.9008296204e-06,396.0,0.019585453333333336,0.5360341698232324,0.42732884606060606
20,5.0,0.10937485999999999,0.13671875,0.005872579425210543,18.624671048374744,7.662052706523428e-05,1.04754626847e-05,703.0,0.036556405348506404,0.6573890913940256,0.4319034551351351
20,6.0,0.12499984,0.16796875,0.006252754803774761,19.991162923026845,0.00010530284815657675,1.76875877763e-05,1187.0,0.048553213951137326,0.5623519113310868,0.3878103224936816
20,7.0,0.08333322666666666,0.09375,0.00455488439647107,18.295354922998637,7.51809403488e-05,7.048213157700001e-06,473.0,0.03049014393234672,0.9551400634249472,0.155696284820296
20,8.0,0.11197902333333333,0.19140625,0.006832179550691361,16.389941526346735,6.017848752431021e-05,1.15185386277e-05,773.0,0.045924850090556274,0.4815299563389392,0.2220416979042691
20,9.0,0.09374988,0.13671875,0.004913645325491267,19.079496746262787,6.343264118345144e-05,8.6724314118e-06,582.0,0.048462209484536084,0.8476965206185567,0.1380943092783505
20,10.0,0.08854155333333333,0.14453125,0.00891513092865228,9.931604374846613,0.000148669332243373,2.1487364425800002e-05,1442.0,0.06025822169209431,0.07492306692094314,0.3638830512066574
20,11.0,0.13281233,0.15625,0.005599413182514314,23.718972983587374,9.0598596192e-05,1.4156030655e-05,950.0,0.0564143292631579,0.7241611842105263,0.1395165013894737
20,12.0,0.17968726999999998,0.1796875,0.005957216585846386,30.162957382968894,0.00011817208198956524,2.12340459825e-05,1425.0,0.05638828766315789,0.909953399122807,0.30619439157894734
20,13.0,0.11458318666666666,0.1328125,0.006327320967164487,18.10927361853365,8.549365981214118e-05,1.13546266938e-05,762.0,0.07093516535433071,0.8976531742125984,0.36893975433070864
20,14.0,0.0781249,0.0859375,0.005946029213248321,13.139003728056071,8.01082324224e-05,6.884301223800001e-06,462.0,0.06415280519480519,0.034522118506493504,0.09396113662337661
20,15.0,0.11718735,0.18359375,0.00434643573176492,26.96171236205412,3.709165371533617e-05,6.8097957993000006e-06,457.0,0.07097475676148796,0.382949261487965,0.11196890783369803
20,16.0,0.08333322666666666,0.1484375,0.007585958354110349,10.985194325712806,6.254063759292633e-05,9.2833758927e-06,623.0,0.07028096975922954,0.304098113964687,0.05222323107544142
20,17.0,0.08854155333333333,0.1328125,0.006222120485117038,14.230125171172713,6.518611069665884e-05,8.657530326900001e-06,581.0,0.08503635717728056,0.6889858541308089,0.008683147951807229
20,18.0,0.09114571666666667,0.11328125,0.007637697176182788,11.933664632697575,0.00012917288052347584,1.46328653718e-05,982.0,0.10125793515274949,0.949521066700611,0.13128665792260694
20,19.0,0.14843731,0.20703125,0.005487247171186269,27.05132562270014,6.75845734453132e-05,1.39921187211e-05,939.0,0.11476399999999999,0.12596928248136316,0.4001296
20,20.0,0.09114571666666667,0.19140625,0.0063372009694684615,14.382645762031371,6.477167091879184e-05,1.23977026368e-05,832.0,0.1140392025,0.8459190955528846,0.3343661625
20,21.0,0.13281233,0.2265625,0.008145397518235993,16.305199310734498,0.0001152295757011862,2.6106700744800003e-05,1752.0,0.13969601616438357,0.850884703196347,0.41155092273972604
20,22.0,0.09374988,0.11328125,0.0042844162643140464,21.881599316309607,2.854431270223448e-05,3.2335354233000003e-06,217.0,0.11941033658986176,0.3742259504608295,0.10695357124423963
20,23.0,0.08593739,0.14453125,0.005115186175401945,16.8004422621523,3.907467192804325e-05,5.647511177100001e-06,379.0,0.1286379457519789,0.7246042216358839,0.33726620453825856
20,24.0,0.09114571666666667,0.15234375,0.004945713733916407,18.42923419558501,3.66795936e-05,5.587906837500001e-06,375.0,0.12969758464,0.1933125,0.19535366656
20,25.0,0.11197902333333333,0.13671875,0.006667871706832019,16.7938179162322,8.34869469871543e-05,1.1414231033400001e-05,766.0,0.1405685451697128,0.08169468015665797,0.46679822976501306
20,26.0,0.10416653333333332,0.1953125,0.004970641077529749,20.956357883941358,4.1045932422144e-05,8.016783676200001e-06,538.0,0.17449203122676582,0.8371863382899628,0.2648946227509294
20,27.0,0.10156237,0.17578125,0.006854562379544742,14.81675479430759,7.697171961856e-05,1.3530185089200002e-05,908.0,0.16070434837004405,0.4870637734030837,0.41977668211453745
20,28.0,0.10937485999999999,0.125,0.006162370795066414,17.74882811134399,6.9737077332e-05,8.7171346665e-06,585.0,0.16468641066666667,0.5189035790598291,0.468758816
20,29.0,0.09635404333333333,0.11328125,0.0048457957594916215,19.88404962066374,6.761187432695173e-05,7.659157638600001e-06,514.0,0.17777951813229573,0.7175188472762646,0.20007320498054476
20,30.0,0.09114571666666667,0.13671875,0.005726961733916407,15.915195683407559,5.2206589565074286e-05,7.1376196671e-06,479.0,0.19211116659707725,0.09317099425887265,0.02450574363256785
20,31.0,0.09114571666666667,0.12890625,0.006477110410823107,14.071972050123495,8.288254350196365e-05,1.06840778733e-05,717.0,0.20007085723849372,0.7432607653417015,0.16658179548117155
20,32.0,0.15104147333333331,0.15625,0.006802771842794973,22.202930926355563,0.00010642950878976,1.66296107484e-05,1116.0,0.2101424111827957,0.5325415826612904,0.06209556516129033
20,33.0,0.08854155333333333,0.1484375,0.005099340841661636,17.3633330429589,4.7783857936168424e-05,7.0929164124000004e-06,476.0,0.1958331055462185,0.15319721638655462,0.23259361411764706
