frame,n_worms,mean_length,mean_width,mean_volume,mean_area_xz,total_volume
0,0,,,,,0.0
10,6,0.10546861499999999,0.008029710972309964,1.7690071290450002e-05,0.00018301002446175909,0.00010614042774270001
20,11,0.10037865939393939,0.008589559420226977,2.5513366636963636e-05,0.00021044410304033904,0.0002806470330066
30,30,0.11006930355555554,0.008961704595984664,2.8159076838360008e-05,0.00020272533803111073,0.0008447723051508003
40,20,0.131249832,0.010511416814413699,4.3901576332380005e-05,0.0002479789671462451,0.0008780315266476001
50,22,0.12606517954545454,0.010054529557216708,4.542257070744547e-05,0.0002555518858040401,0.0009992965555638003
60,19,0.13075641157894735,0.011120510928931123,5.385879496961053e-05,0.0002647229743703407,0.0010233171044226
70,21,0.13194427555555555,0.011741483145057888,6.0211736203542854e-05,0.00030146130735286044,0.0012644464602744
80,13,0.1612578064102564,0.012753528085887127,9.736025002469999e-05,0.00038984733473828556,0.0012656832503210999
90,13,0.16225940769230768,0.014454698483922787,0.00011281267506600002,0.0004374948015385116,0.0014665647758580003
100,22,0.1402697068181818,0.011841522587975746,7.928799543085911e-05,0.0003347965358998589,0.0017443358994789005
110,15,0.15399285844444444,0.013573775791583888,0.00010129856855586,0.00040631432459595576,0.0015194785283379
120,15,0.17795116111111106,0.013828352404642053,0.00011538208059767999,0.0004613356740537405,0.0017307312089651999
130,20,0.1447914813333333,0.013117701330678747,9.504582498040502e-05,0.00043500380438687666,0.0019009164996081004
140,14,0.16945662833333333,0.012897206460579264,0.00010061106088159286,0.00041885614541335015,0.0014085548523423
150,19,0.17324539228070174,0.015440646989668759,0.00012843558782360523,0.0005024202524665919,0.0024402761686484996
160,21,0.16158213444444444,0.013655932543912503,0.00011050289774104286,0.00042404390723255463,0.0023205608525619
170,16,0.17366514229166666,0.013918670742969527,0.00011183171085669376,0.00042920371123513314,0.0017893073737071002
180,13,0.15645012025641025,0.0142181126288174,0.0001222828876386,0.0004987443906359407,0.0015896775393018
190,16,0.15559875916666666,0.013251694197419592,0.0001128813060243375,0.00044736983725346966,0.0018061008963894
200,16,0.15543599895833332,0.012994440454877377,0.00010200537668295,0.000391270618197912,0.0016320860269272
