frame,n_worms,mean_length,mean_width,mean_volume,mean_area_xz,total_volume
0,0,,,,,0.0
1,7,0.08965762333333334,0.008395828247794512,1.0239174052714285e-05,0.00023444847817210188,7.1674218369e-05
2,8,0.09147123708333332,0.007437185918606022,9.6410019303e-06,0.0001575050328227517,7.71280154424e-05
3,6,0.10243042444444445,0.008094617154465496,1.5241326338550001e-05,0.0001826819816860216,9.144795803130001e-05
4,5,0.08802072066666665,0.00695398444895209,1.088077219398e-05,0.00018955126675644345,5.44038609699e-05
5,3,0.08940960777777777,0.007708018917635132,1.46726015982e-05,0.00020040138738979524,4.4017804794600003e-05
6,8,0.09537748208333333,0.007218878579726462,1.4284552512262502e-05,0.00012554685139081476,0.00011427642009810001
7,6,0.09418390722222221,0.0073472006686750345,1.42702723059e-05,0.00012057088738604649,8.56216338354e-05
8,6,0.09461793444444444,0.0068992470083478995,1.35798553722e-05,0.00011872921680487042,8.14791322332e-05
9,3,0.09114571666666667,0.006692339768533923,1.3589789428800002e-05,0.00011639031077377538,4.076936828640001e-05
10,8,0.09667956375,0.006287707161304567,1.1693626375275e-05,0.00010351149800640271,9.35490110022e-05
11,4,0.11328110499999999,0.005813982824042669,1.3910162754150002e-05,0.00010088051987388015,5.5640651016600006e-05
12,7,0.09300583333333333,0.006054828810519796,1.0552096835614287e-05,9.927391908238763e-05,7.38646778493e-05
13,11,0.0883048112121212,0.006715526532253915,1.1105372182745455e-05,9.235103742712777e-05,0.0001221590940102
14,17,0.09497536862745097,0.006258951253189889,1.0658658375529411e-05,8.081144599179431e-05,0.000181197192384
15,21,0.09498995777777777,0.0060697971073366205,1.023278787347143e-05,7.788766032377334e-05,0.0002148885453429
16,26,0.09735564461538461,0.00612327556083672,1.0851428519099999e-05,8.418028651626611e-05,0.0002821371414966
17,44,0.09700508416666666,0.0062607260157059,1.140508718584773e-05,8.65406872046961e-05,0.0005018238361773001
18,67,0.10420540144278605,0.006323877655550924,1.2288502148950747e-05,8.713463104564583e-05,0.0008233296439797
19,75,0.10291653493333333,0.00636418846142177,1.2295779216084001e-05,8.758963008063593e-05,0.0009221834412063001
20,89,0.10176719183520598,0.006336156139445671,1.1955358071566292e-05,8.348624391563138e-05,0.0010640268683694
