frame,worm,length,length_y,width,aspect,area_xz,volume,voxels,cx,cy,cz
1,1.0,0.10416653333333332,0.05078125,0.007991110300526868,13.035301655949542,0.0002564637184512,1.3023548202600001e-05,874.0,0.06481944933638445,0.7191477760297483,0.14793878389016019
1,2.0,0.08854155333333333,0.03515625,0.008677182825231644,10.203951572377944,0.00027804762152960005,9.775111694400001e-06,656.0,0.13525951463414634,0.029445741234756097,0.4341672621951219
1,3.0,0.0781249,0.046875,0.008698718959398178,8.981196008820714,0.0002244302067072,1.05201659394e-05,706.0,0.2553801226062323,0.6083514075779037,0.3850855492351275
1,4.0,0.08072906333333332,0.03125,0.008107615900357837,9.957188935130766,0.0002760873010272,8.6277281571e-06,579.0,0.3410370155440415,0.10853842832469776,0.09685316310880829
1,5.0,0.08854155333333333,0.04296875,0.008880080024451828,9.970805791110992,0.0002614788192488727,1.12354180146e-05,754.0,0.35597295724137934,0.817836124005305,0.08598131586206896
1,6.0,0.10416653333333332,0.05859375,0.007284535409071688,14.299681103013253,0.00012690161263104,7.4356413651e-06,499.0,0.3522974448096192,0.6050695140280561,0.27246219703406815
1,7.0,0.08333322666666666,0.05078125,0.00913155431552354,9.12585347326918,0.0002177300676096,1.1056604995800001e-05,742.0,0.4708861766037736,0.9753411388140162,0.21257421153638814
2,1.0,0.08072906333333332,0.046875,0.0058880799442889865,13.71059226388981,0.00010331418864,4.8428525925e-06,325.0,0.16034213760000002,0.595985576923077,0.39227664
2,2.0,0.11458318666666666,0.06640625,0.007187168431378377,15.94274403900279,0.00015124075252856474,1.00433312226e-05,674.0,0.17917412866468843,0.4482972459198813,0.05749533222551929
2,3.0,0.08072906333333332,0.07421875,0.008704209298445245,9.274715320523512,0.00016884968287528423,1.2531812400900001e-05,841.0,0.27246140118906065,0.8530906287158145,0.2873826806183115
2,4.0,0.08593739,0.06640625,0.006869922298530215,12.509222996362837,0.00013508447035934118,8.970453109800001e-06,602.0,0.290362758538206,0.05427221760797342,0.3352196308305648
2,5.0,0.11458318666666666,0.06640625,0.009679461278195767,11.837764868668883,0.0002488516239676235,1.65253031541e-05,1109.0,0.32272446124436427,0.08705407461677186,0.07400546034265104
2,6.0,0.09114571666666667,0.05078125,0.0075151174298737,12.128315693956957,0.0001561083503616,7.9273771668e-06,532.0,0.33153110616541354,0.9698293585526315,0.10948485834586466
2,7.0,0.08593739,0.0625,0.007002525535358092,12.27234225224505,0.000152587109376,9.536694336000001e-06,640.0,0.37685145225000005,0.97303466796875,0.2381890875
2,8.0,0.0781249,0.046875,0.006651003132777796,11.746333363606624,0.0001440040844736,6.7501914597000005e-06,453.0,0.41566963814569535,0.7828366445916115,0.41195310516556294
3,1.0,0.11197902333333333,0.10546875,0.00898329138811698,12.46525560569684,0.00018084398148266665,1.9073388672000002e-05,1280.0,0.16711993349999998,0.7346160888671875,0.471214614
3,2.0,0.10416653333333332,0.0625,0.006540667558119315,15.925978871074909,0.0001580707086192,9.8794192887e-06,663.0,0.19090495999999998,0.6999670060331825,0.18901370352941177
3,3.0,0.08333322666666666,0.05859375,0.009242388328352658,9.01641693749518,0.0002263375455744,1.3261965561000001e-05,890.0,0.327408747505618,0.09302580758426966,0.07305985510112359
3,4.0,0.0781249,0.109375,0.008682666756737897,8.99780012164739,0.00016825453578514285,1.8402839851500002e-05,1235.0,0.34344863999999997,0.2304940536437247,0.27957133642105264
3,5.0,0.13281233,0.078125,0.007985520781094478,16.631642899788062,0.00023441194677888003,1.8313433342100002e-05,1229.0,0.41346549207485767,0.8940672040276648,0.36598830737184707
