frame,n_worms,mean_length,mean_width,mean_volume,mean_area_xz,total_volume
0,0,,,,,0.0
10,7,0.12797602666666666,0.0117330625114369,4.151655125781429e-05,0.0004398552815975946,0.0002906158588047
20,8,0.09928372708333333,0.009249362926251729,2.84666600658375e-05,0.000445807703699411,0.0002277332805267
30,11,0.12831422969696968,0.010291733680114809,4.4743894022454546e-05,0.0005049269458342158,0.000492182834247
40,16,0.12467431958333333,0.011773478168539547,5.917965868035e-05,0.0004526851553198794,0.0009468745388856
50,13,0.13201104897435895,0.011487491696068766,6.20504099982e-05,0.0004985430879418841,0.0008066553299766001
60,7,0.19456820333333333,0.016376650477216564,0.00015127155645197144,0.0007879529859052254,0.0010589008951638
70,6,0.1935761411111111,0.016024337549311596,0.00017383853995755,0.0010349561077236935,0.0010430312397453
80,5,0.17395811066666664,0.015416079987115056,0.00012715095745170004,0.0007884156919949774,0.0006357547872585001
90,2,0.199218495,0.018694137179911082,0.00023040802526625,0.0012744545269348915,0.0004608160505325
100,4,0.12825504416666667,0.013378038569798738,9.0788585024475e-05,0.0007187949969531349,0.0003631543400979
110,6,0.2026907127777778,0.014769185965666688,0.00017264645316555002,0.0010572188702942754,0.0010358787189933
120,5,0.17187477999999998,0.016286677105435004,0.00017186315280264003,0.0010574722380229597,0.0008593157640132001
130,6,0.160156045,0.016358034220974874,0.00015167814319710002,0.0012027772065938392,0.0009100688591826002
140,6,0.19618030444444445,0.014751976068976998,0.00016995929085525003,0.0011133452334479372,0.0010197557451315001
150,6,0.20052057666666667,0.016109696624399376,0.00021045298907099998,0.0011978170819201088,0.001262717934426
160,5,0.24583301866666668,0.01881792600786058,0.00031051774779714003,0.0012805329971742278,0.0015525887389857003
170,7,0.21279734666666664,0.018075936650333687,0.00023257613311920003,0.0013573800527356226,0.0016280329318344002
